Date,Artist,Venue,City,State,
"Apr. 3, 2014",Inner Circle,Florida Theatre,Jacksonville,Florida,
"Apr. 3, 2014",SOJA,Florida Theatre,Jacksonville,Florida,
,,,,,
"May 5, 2014",Earl Sweatshirt,Freebird Live,Jacksonville,Florida,
,,,,,
"May 13, 2014",Dawes,Ponte Vedra Concert Hall,Ponte Vedra Beach,Florida,
"May 13, 2014",Conor Oberst,Ponte Vedra Concert Hall,Ponte Vedra Beach,Florida,
,,,,,
"May 20, 2014",ALO,St. Augustine Amphitheatre,St. Augustine,Florida,
"May 20, 2014",Jack Johnson,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"May 25, 2014",Dale Watson,St. Augustine Amphitheatre,St. Augustine,Florida,
"May 25, 2014",Old Crow Medicine Show,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"Jul. 15, 2014",Jenny Lewis,Florida Theatre,Jacksonville,Florida,
"Jul. 15, 2014",Ray LaMontagne,Florida Theatre,Jacksonville,Florida,
,,,,,
"Jul. 25, 2014",Hank 3,Underbelly,Jacksonville,Florida,
,,,,,
"Jul. 26, 2014",Carrie Underwood,EverBank Field ,Jacksonville,Florida,
,,,,,
"Aug. 19, 2014",Stiff Little Fingers,St. Augustine Amphitheatre,St. Augustine,Florida,
"Aug. 19, 2014",Pennywise,St. Augustine Amphitheatre,St. Augustine,Florida,
"Aug. 19, 2014",Bad Religion,St. Augustine Amphitheatre,St. Augustine,Florida,
"Aug. 19, 2014",The Offspring,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"Sep. 20, 2014",Olivia Jean,Times-Union Moran Theater,Jacksonville,Florida,
"Sep. 20, 2014",Jack White,Times-Union Moran Theater,Jacksonville,Florida,
,,,,,
"Oct. 19, 2014",Alice Cooper,Jacksonville Arena,Jacksonville,Florida,
"Oct. 19, 2014",Motley Crue,Jacksonville Arena,Jacksonville,Florida,
,,,,,
"Nov. 15, 2014",Cory Branan,Colonial Quarter,St. Augustine,Florida,
"Nov. 15, 2014",Justin Townes Earle,Colonial Quarter,St. Augustine,Florida,
,,,,,
"Dec. 17, 2014",St. Vincent,Amway Center,Orlando,Florida,
"Dec. 17, 2014",The Black Keys,Amway Center,Orlando,Florida,
,,,,,
"Feb. 17, 2015",Leilani Wolfgramm,Ponte Vedra Concert Hall,Ponte Vedra Beach,Florida,
"Feb. 17, 2015",The Green,Ponte Vedra Concert Hall,Ponte Vedra Beach,Florida,
"Feb. 17, 2015",SOJA,Ponte Vedra Concert Hall,Ponte Vedra Beach,Florida,
,,,,,
"Feb. 21, 2015",Ryan Bingham,Freebird Live,Jacksonville,Florida,
"Feb. 21, 2015",Lucero,Freebird Live,Jacksonville,Florida,
,,,,,
"May 16, 2015",The Devil Makes Three ,St. Augustine Amphitheatre,St. Augustine,Florida,
"May 16, 2015",Old Crow Medicine Show,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"Aug. 5, 2015",Kid You Not,Freebird Live,Jacksonville,Florida,
"Aug. 5, 2015",Flag On Fire,Freebird Live,Jacksonville,Florida,
"Aug. 5, 2015",Face To Face,Freebird Live,Jacksonville,Florida,
,,,,,
"Aug. 16, 2015",Mickey Avalon,St. Augustine Amphitheatre,St. Augustine,Florida,
"Aug. 16, 2015",Pepper,St. Augustine Amphitheatre,St. Augustine,Florida,
"Aug. 16, 2015",Rebelution,St. Augustine Amphitheatre,St. Augustine,Florida,
"Aug. 16, 2015",Sublime w/ Rome,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"Sep. 5, 2015",Nicki Bluhm & The Gramblers,St. Augustine Celebrate 450!,St. Augustine,Florida,
"Sep. 5, 2015",Justin Townes Earle,St. Augustine Celebrate 450!,St. Augustine,Florida,
"Sep. 5, 2015",JJ Grey & Mofro,St. Augustine Celebrate 450!,St. Augustine,Florida,
,,,,,
"Oct. 17, 2015",Night Ranger,Jacksonville Arena,Jacksonville,Florida,
"Oct. 17, 2015",Foreigner,Jacksonville Arena,Jacksonville,Florida,
"Oct. 17, 2015",Def Leppard,Jacksonville Arena,Jacksonville,Florida,
,,,,,
"Jan. 1, 2016",Collie Buddz,Florida Theatre,Jacksonville,Florida,
"Jan. 1, 2016",SOJA,Florida Theatre,Jacksonville,Florida,
,,,,,
"Mar. 5, 2016",Shovels & Rope,St. Augustine Amphitheatre,St. Augustine,Florida,
"Mar. 5, 2016",Jason Isbell,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"Apr. 13, 2016",Pearl Jam,Jacksonville Arena,Jacksonville,Florida,
,,,,,
"May 17, 2016",Deftones,St. Augustine Amphitheatre,St. Augustine,Florida, 
,,,,,
"Oct. 2, 2016",Wakrat,Perfect Vodka Ampitheatre,West Palm Beach,Florida,
"Oct. 2, 2016",AWOLNATION,Perfect Vodka Ampitheatre,West Palm Beach,Florida,
"Oct. 2, 2016",Prophets Of Rage,Perfect Vodka Ampitheatre,West Palm Beach,Florida,
,,,,,
"Nov. 2, 2016",Puscifer,The Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,Florida,
,,,,,
"Feb. 4, 2017",The Avett Brothers,Pompano Beach Amphitheater,Pompano Beach,Florida,
,,,,,
"Mar. 29, 2017",Easy Action,Culture Room,Fort Lauderdale,Florida,
"Mar. 29, 2017",Dinosaur Jr. ,Culture Room,Fort Lauderdale,Florida,
,,,,,
"Mar. 30, 2017",Dudu Tassa & The Kuwaitis,American Airlines Arena,Miami,Florida,
"Mar. 30, 2017",Radiohead,American Airlines Arena,Miami,Florida,
,,,,,
"Jun. 23, 2017",Three Trapped Tigers,Bayfront Park Ampitheatre,Miami,Florida,
"Jun. 23, 2017",Thrice,Bayfront Park Ampitheatre,Miami,Florida,
"Jun. 23, 2017",Deftones,Bayfront Park Ampitheatre,Miami,Florida,
"Jun. 23, 2017",Rise Against,Bayfront Park Ampitheatre,Miami,Florida,
,,,,,
"Sep. 3, 2017",Catfish & The Bottlemen,Perfect Vodka Ampitheatre,West Palm Beach,Florida,
"Sep. 3, 2017",Green Day,Perfect Vodka Ampitheatre,West Palm Beach,Florida,
,,,,,
"Sep. 15, 2017",Chase Bryant,Perfect Vodka Ampitheatre,West Palm Beach,Florida,
"Sep. 15, 2017",Dustin Lynch,Perfect Vodka Ampitheatre,West Palm Beach,Florida,
"Sep. 15, 2017",Brad Paisley,Perfect Vodka Ampitheatre,West Palm Beach,Florida,
,,,,,
"Sep. 19, 2017",Mumford & Sons,American Airlines Arena,Miami,Florida,
,,,,,
"Oct. 20, 2017",Tim Kasher,Culture Room,Fort Lauderdale,Florida,
"Oct. 20, 2017",Conor Oberst,Culture Room,Fort Lauderdale,Florida,
,,,,,
"Dec. 3, 2017",The Obsessed,Revolution Live,Fort Lauderdale,Florida,
"Dec. 3, 2017",Devin Townsend Project,Revolution Live,Fort Lauderdale,Florida,
"Dec. 3, 2017",Clutch,Revolution Live,Fort Lauderdale,Florida,
,,,,,
"May 23, 2018",Lance Skiiiwalker,Coral Sky Amphitheatre,West Palm Beach,Florida,
"May 23, 2018",SiR,Coral Sky Amphitheatre,West Palm Beach,Florida,
"May 23, 2018",Ab-Soul,Coral Sky Amphitheatre,West Palm Beach,Florida,
"May 23, 2018",Jay Rock,Coral Sky Amphitheatre,West Palm Beach,Florida,
"May 23, 2018",Schoolboy Q,Coral Sky Amphitheatre,West Palm Beach,Florida,
"May 23, 2018",Kendrick Lamar,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"Jun. 11, 2018",Turbowolf,Revolution Live,Fort Lauderdale,Florida,
"Jun. 11, 2018",Royal Blood,Revolution Live,Fort Lauderdale,Florida,
,,,,,
"Jun. 29, 2018",David Crosby & Friends,Red Rocks Amphitheatre ,Morrison,Colorado,
"Jun. 29, 2018",The Avett Brothers,Red Rocks Amphitheatre ,Morrison,Colorado,
,,,,,
"Jun. 30, 2018",Mandolin Orange,Red Rocks Amphitheatre ,Morrison,Colorado,
"Jun. 30, 2018",The Avett Brothers,Red Rocks Amphitheatre ,Morrison,Colorado,
,,,,,
"Jul. 1, 2018",Jill Andrews,Red Rocks Amphitheatre ,Morrison,Colorado,
"Jul. 1, 2018",The Avett Brothers,Red Rocks Amphitheatre ,Morrison,Colorado,
,,,,,
"Jul. 24, 2018",Metric,American Airlines Arena,Miami,Florida,
"Jul. 24, 2018",The Smashing Pumpkins,American Airlines Arena,Miami,Florida,
,,,,,
"Nov. 16, 2018",The Avett Brothers,Key West Amphitheater at Truman Waterfront,Key West,Florida,
,,,,,
"Nov. 17, 2018",The Avett Brothers,Key West Amphitheater at Truman Waterfront,Key West,Florida,
,,,,,
"Jan. 25, 2019",Matisyahu,Boca Black Box,Boca Raton,Florida,
,,,,,
"Feb. 23, 2019",Erin Enderlin,Abacoa Town Center Amphitheater,Jupiter,Florida,
"Feb. 23, 2019",Jamey Johnson,Abacoa Town Center Amphitheater,Jupiter,Florida,
,,,,,
"Mar. 7, 2019",Passafire,Culture Room,Fort Lauderdale,Florida,
"Mar. 7, 2019",SOJA,Culture Room,Fort Lauderdale,Florida,
,,,,,
"Jul. 26, 2019",Dave Matthews Band,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"Aug. 17, 2019",Collie Buddz,Sunset Cove Amphitheater,Boca Raton,Florida,
"Aug. 17, 2019",Protoje,Sunset Cove Amphitheater,Boca Raton,Florida,
"Aug. 17, 2019",Rebelution,Sunset Cove Amphitheater,Boca Raton,Florida,
,,,,,
"Sep. 8, 2019",Caroline Spence,City Winery Nashville,Nashville,Tennessee,
"Sep. 8, 2019",Holly Williams,City Winery Nashville,Nashville,Tennessee,
,,,,,
"Oct. 12, 2019",Kendell Marvel,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Oct. 12, 2019",Brothers Osborne,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Oct. 12, 2019",Chris Stapleton,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"Oct. 18, 2019",Lukas Nelson & Promise of the Real,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Oct. 18, 2019",Zac Brown Band,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"Oct. 19, 2019",Face To Face,St. Augustine Amphitheatre,St. Augustine,Florida,
"Oct. 19, 2019",Lagwagon,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"Nov. 6, 2019",Shannon & The Clams,BB&T Center,Sunrise,Florida,
"Nov. 6, 2019",Modest Mouse,BB&T Center,Sunrise,Florida,
"Nov. 6, 2019",The Black Keys,BB&T Center,Sunrise,Florida,
,,,,,
"Feb. 1, 2020",Author & Punisher,Smoothie King Center,New Orleans,Louisiana,
"Feb. 1, 2020",Tool,Smoothie King Center,New Orleans,Louisiana,
,,,,,
"May 17, 2021",Caroline Jones,Pavilion At Old School Square,Delray Beach,Florida,
"May 17, 2021",Jimmy Buffett,Pavilion At Old School Square,Delray Beach,Florida,
,,,,,
"Sep. 7, 2021",Dirty Honey,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Sep. 7, 2021",The Black Crowes,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"Oct. 23, 2021",Kash'd Out,Abacoa Town Center Amphitheater,Jupiter,Florida,
"Oct. 23, 2021",Badfish,Abacoa Town Center Amphitheater,Jupiter,Florida,
"Oct. 23, 2021",Tribal Seeds,Abacoa Town Center Amphitheater,Jupiter,Florida,
,,,,,
"Feb. 10, 2022",Blonde Redhead,FTX Arena,Miami,Florida,
"Feb. 10, 2022",Tool,FTX Arena,Miami,Florida,
,,,,,
"May 3, 2022",Battles,The Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,Florida,
"May 3, 2022",Primus,The Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,Florida,
,,,,,
"May 20, 2022",Caamp,Coral Sky Amphitheatre,West Palm Beach,Florida,
"May 20, 2022",The Lumineers,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"May 27, 2022",Hurray For The Riff Raff,The Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,Florida,
"May 27, 2022",Bright Eyes,The Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,Florida,
,,,,,
"Jun. 15, 2022",Iann Dior,FTX Arena,Miami,Florida,
"Jun. 15, 2022",Blackbear,FTX Arena,Miami,Florida,
"Jun. 15, 2022",Machine Gun Kelly,FTX Arena,Miami,Florida,
,,,,,
"Jul. 15, 2022",Tribal Seeds,Sunset Cove Amphitheater,Boca Raton,Florida,
"Jul. 15, 2022",SOJA,Sunset Cove Amphitheater,Boca Raton,Florida,
"Jul. 15, 2022",Dirty Heads,Sunset Cove Amphitheater,Boca Raton,Florida,
,,,,,
"Aug. 18, 2022",Ziggy Marley,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Aug. 18, 2022",Jack Johnson,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"Aug. 24, 2022",Early James,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Aug. 24, 2022",Band Of Horses,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Aug. 24, 2022",The Black Keys,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"Sep. 13, 2022",Johnny Marr,FTX Arena,Miami,Florida,
"Sep. 13, 2022",The Killers,FTX Arena,Miami,Florida,
,,,,,
"Sep. 20, 2022",Cat Power,James L Knight Center ,Miami,Florida,
"Sep. 20, 2022",Jack White ,James L Knight Center ,Miami,Florida,
,,,,,
"Oct. 8, 2022",Jane's Addiction,Hard Rock Live,Hollywood,Florida,
"Oct. 8, 2022",The Smashing Pumpkins,Hard Rock Live,Hollywood,Florida,
,,,,,
"Feb. 16, 2023",Four Year Strong,Sunset Cove Amphitheater,Boca Raton,Florida,
"Feb. 16, 2023",Silverstein,Sunset Cove Amphitheater,Boca Raton,Florida,
"Feb. 16, 2023",Rise Against ,Sunset Cove Amphitheater,Boca Raton,Florida,
,,,,,
"Apr. 21, 2023",Blame My Youth,The Fillmore New Orleans,New Orleans,Louisiana,
"Apr. 21, 2023",Jameson Rodgers,The Fillmore New Orleans,New Orleans,Louisiana,
"Apr. 21, 2023",Hardy,The Fillmore New Orleans,New Orleans,Louisiana,
,,,,,
"May 4, 2023",Lorna Shore,Sunset Cove Amphitheater,Boca Raton,Florida,
"May 4, 2023",Mastodon,Sunset Cove Amphitheater,Boca Raton,Florida,
"May 4, 2023",Gojira,Sunset Cove Amphitheater,Boca Raton,Florida,
,,,,,
"May 21, 2023",Pennywise,Daytona International Speedway,Daytona Beach,Florida,
"May 21, 2023",The Mars Volta,Daytona International Speedway,Daytona Beach,Florida,
"May 21, 2023",Coheed & Cambria,Daytona International Speedway,Daytona Beach,Florida,
"May 21, 2023",Incubus,Daytona International Speedway,Daytona Beach,Florida,
"May 21, 2023",Ghostmane,Daytona International Speedway,Daytona Beach,Florida,
"May 21, 2023",Deftones,Daytona International Speedway,Daytona Beach,Florida,
"May 21, 2023",Tool,Daytona International Speedway,Daytona Beach,Florida,
,,,,,
"May 23, 2023",Trampled By Turtles,Vystar Veterans Memorial Arena ,Jacksonville,Florida,
"May 23, 2023",Zach Bryan,Vystar Veterans Memorial Arena ,Jacksonville,Florida,
,,,,,
"Jun. 14, 2023",Ruby Force,Lillian S. Wells Hall at The Parker,Fort Lauderdale,Florida,
"Jun. 14, 2023",Ryan Adams & The Cardinals ,Lillian S. Wells Hall at The Parker,Fort Lauderdale,Florida,
,,,,,
"Jul. 7, 2023",Channing Wilson,Hard Rock Live,Hollywood,Florida,
"Jul. 7, 2023",Corey Smith,Hard Rock Live,Hollywood,Florida,
"Jul. 7, 2023",Riley Green ,Hard Rock Live,Hollywood,Florida,
,,,,,
"Jul. 8, 2023",Lainey Wilson,Raymond James Stadium,Tampa,Florida,
"Jul. 8, 2023",Riley Green ,Raymond James Stadium,Tampa,Florida,
"Jul. 8, 2023",Luke Combs,Raymond James Stadium,Tampa,Florida,
,,,,,
"Jul. 11, 2023",KennyHoopla,FLA Live Arena ,Sunrise,Florida,
"Jul. 11, 2023",Turnstile,FLA Live Arena ,Sunrise,Florida,
"Jul. 11, 2023",Blink-182,FLA Live Arena ,Sunrise,Florida,
,,,,,
"Aug. 19, 2023",Rival Sons,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Aug. 19, 2023",Interpol,Coral Sky Amphitheatre,West Palm Beach,Florida,
"Aug. 19, 2023",The Smashing Pumpkins,Coral Sky Amphitheatre,West Palm Beach,Florida,
,,,,,
"Aug. 23, 2023",Mike Dillon & Punkadelick,Revolution Live,Fort Lauderdale,Florida,
"Aug. 23, 2023",Giovannie & The Hired Guns,Revolution Live,Fort Lauderdale,Florida,
"Aug. 23, 2023",Clutch ,Revolution Live,Fort Lauderdale,Florida,
,,,,,
"Sep. 15, 2023",The Warning,Hard Rock Live,Hollywood,Florida,
"Sep. 15, 2023",Guns N Roses,Hard Rock Live,Hollywood,Florida,
,,,,,
"Oct. 6, 2023",Gov't Mule,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Oct. 6, 2023",The Avett Brothers,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Oct. 6, 2023",Willie Nelson,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Oct. 20, 2023",U2,Sphere,Las Vegas,Nevada,
,,,,,
"Oct. 22, 2023",CeeLo Green,Delilah Lounge,Las Vegas,Nevada,
,,,,,
"Nov. 3, 2023",Mihali,Revolution Live,Fort Lauderdale,Florida,
"Nov. 3, 2023",Hirie,Revolution Live,Fort Lauderdale,Florida,
"Nov. 3, 2023",SOJA,Revolution Live,Fort Lauderdale,Florida,
,,,,,
"Nov. 5, 2023",Joshua Ray Walker,Revolution Live,Fort Lauderdale,Florida,
"Nov. 5, 2023",Marcus King,Revolution Live,Fort Lauderdale,Florida,
,,,,,
"Jan. 18, 2024",Elder,Hard Rock Live,Hollywood,Florida,
"Jan. 18, 2024",Tool,Hard Rock Live,Hollywood,Florida,
,,,,,
"Jan. 19, 2024",Elder,Hard Rock Live,Hollywood,Florida,
"Jan. 19, 2024",Tool,Hard Rock Live,Hollywood,Florida,
,,,,,
"Feb. 3, 2024",Nest,Amerant Bank Arena,Sunrise,Florida,
"Feb. 3, 2024",Lamb of God,Amerant Bank Arena,Sunrise,Florida,
"Feb. 3, 2024",Pantera,Amerant Bank Arena,Sunrise,Florida,
,,,,,
"Apr. 27, 2024",Lovecrimes,Revolution Live,Fort Lauderdale,Florida,
"Apr. 27, 2024",Bad Religion,Revolution Live,Fort Lauderdale,Florida,
"Apr. 27, 2024",Social Distortion,Revolution Live,Fort Lauderdale,Florida,
,,,,,
"May 9, 2024",Nikki Lane,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"May 9, 2024",Grace Potter,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"May 9, 2024",Chris Stapleton,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"May 10, 2024",Royal Blood,Hard Rock Live,Hollywood,Florida,
"May 10, 2024",Queens Of The Stone Age ,Hard Rock Live,Hollywood,Florida,
,,,,,
"May 24, 2024",Dave Matthews Band,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Jun. 18, 2024",DOMi & JD Beck,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jun. 18, 2024",Red Hot Chili Peppers,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Jun. 20, 2024",Ingrid Andress,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jun. 20, 2024",Joan Jett & The Blackhearts,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jun. 20, 2024",Alanis Morissette,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Jun. 21, 2024",jxdn,Kaseya Center,Miami,Florida,
"Jun. 21, 2024",Pierce The Veil,Kaseya Center,Miami,Florida,
"Jun. 21, 2024",Blink-182,Kaseya Center,Miami,Florida,
,,,,,
"Jul. 22, 2024",Levi Turner,Amerant Bank Arena,Sunrise,Florida,
"Jul. 22, 2024",The War And Treaty,Amerant Bank Arena,Sunrise,Florida,
"Jul. 22, 2024",Zach Bryan,Amerant Bank Arena,Sunrise,Florida,
,,,,,
"Aug. 2, 2024",Elovaters,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 2, 2024",Common Kings,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 2, 2024",Dirty Heads,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 2, 2024",Slightly Stoopid,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Aug. 6, 2024",Riff Raff,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 6, 2024",N8NOFACE,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 6, 2024",Bones w/ Eddy Baker & Xavier Wulf,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 6, 2024",Limp Bizkit,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Aug. 10, 2024",Little Stranger,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 10, 2024",SOJA,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 10, 2024",Stick Figure,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Aug. 23, 2024",KennyHoopla,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 23, 2024",Poppy,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 23, 2024",AFI,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Aug. 23, 2024",Thirty Seconds To Mars,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Sep. 14, 2024",Spiritbox,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Sep. 14, 2024",Gojira,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Sep. 14, 2024",Korn,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Sep. 21, 2024",Finger Eleven,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Sep. 21, 2024",3 Doors Down,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Sep. 21, 2024",Creed,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Nov. 17, 2024",The Avett Brothers,Hard Rock Live,Hollywood,Florida,
,,,,,
"Mar. 22, 2025",Fleshwater,Amerant Bank Arena,Sunrise,Florida,
"Mar. 22, 2025",The Mars Volta,Amerant Bank Arena,Sunrise,Florida,
"Mar. 22, 2025",Deftones,Amerant Bank Arena,Sunrise,Florida,
,,,,,
"Apr. 27, 2025",Dead Pioneers,Hard Rock Live,Hollywood,Florida,
"Apr. 27, 2025",Pearl Jam,Hard Rock Live,Hollywood,Florida,
,,,,,
"May 6, 2025",A Perfect Circle,Hard Rock Live,Hollywood,Florida,
"May 6, 2025",Primus,Hard Rock Live,Hollywood,Florida,
"May 6, 2025",Puscifer,Hard Rock Live,Hollywood,Florida,
,,,,,
"May 29, 2025",S.G. Goodman,VyStar Veterans Memorial Arena,Jacksonville,Florida,
"May 29, 2025",Tyler Childers ,VyStar Veterans Memorial Arena,Jacksonville,Florida,
,,,,,
"Jun. 28, 2025",Little Stranger,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jun. 28, 2025",Iration,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jun. 28, 2025",Slightly Stoopid,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Jul. 5, 2025",The Hip Abduction,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jul. 5, 2025",Stephen Marley,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jul. 5, 2025",Stick Figure,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Jul. 11, 2025",New Found Glory,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jul. 11, 2025",Jimmy Eat World,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Jul. 11, 2025",The Offspring,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Jul. 26, 2025",Ryan Adams,Lillian S. Wells Hall at The Parker,Fort Lauderdale,Florida,
,,,,,
"Aug. 28, 2025",Beauty School Dropout,Hard Rock Live,Hollywood,Florida,
"Aug. 28, 2025",Alkaline Trio,Hard Rock Live,Hollywood,Florida,
"Aug. 28, 2025",Blink-182,Hard Rock Live,Hollywood,Florida,
,,,,,
"Sep. 13, 2025",King Parrot,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Sep. 13, 2025",Amon Amarth,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Sep. 13, 2025",Pantera,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Oct. 5, 2025",Underoath,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Oct. 5, 2025",Rise Against,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"Oct. 5, 2025",Papa Roach,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"Oct. 7, 2025",Chance Pena,Hard Rock Live,Hollywood,Florida,
"Oct. 7, 2025",The Lumineers,Hard Rock Live,Hollywood,Florida,
,,,,,
"Oct. 23, 2025",Ryan Bingham and The Texas Gentlemen,Pompano Beach Amphitheater,Pompano Beach,Florida,
,,,,,
"Oct. 24, 2025",TR/ST,FTL War Memorial Auditorium,Fort Lauderdale,Florida,
"Oct. 24, 2025",AFI,FTL War Memorial Auditorium,Fort Lauderdale,Florida,
,,,,,
"Oct. 30, 2025",Hollow Leg,Culture Room,Fort Lauderdale,Florida,
"Oct. 30, 2025",Clutch,Culture Room,Fort Lauderdale,Florida,
,,,,,
"Feb. 7, 2026",Boys Noize,VyStar Veterans Memorial Arena,Jacksonville,Florida,
"Feb. 7, 2026",Nine Inch Nails,VyStar Veterans Memorial Arena,Jacksonville,Florida,
,,,,,
"Mar. 14, 2026",J.R. Carroll,Raymond James Stadium,Tampa,Florida,
"Mar. 14, 2026",Caamp,Raymond James Stadium,Tampa,Florida,
"Mar. 14, 2026",Zach Bryan,Raymond James Stadium,Tampa,Florida,
,,,,,
"Apr. 24, 2026",Miles Kane,Hard Rock Live,Hollywood,Florida,
"Apr. 24, 2026",The Black Keys,Hard Rock Live,Hollywood,Florida,
,,,,,
"May. 9, 2026",Hannah McFarland,Ameris Bank Amphitheatre,Alpharetta,Georgia,
"May. 9, 2026",Drake White,Ameris Bank Amphitheatre,Alpharetta,Georgia,
"May. 9, 2026",Justin Moore,Ameris Bank Amphitheatre,Alpharetta,Georgia,
"May. 9, 2026",Riley Green,Ameris Bank Amphitheatre,Alpharetta,Georgia,
,,,,,
"May. 16, 2026",Artikal Sound System,Pompano Beach Amphitheater,Pompano Beach,Florida,
"May. 16, 2026",Tribal Seeds,Pompano Beach Amphitheater,Pompano Beach,Florida,
"May. 16, 2026",SOJA,Pompano Beach Amphitheater,Pompano Beach,Florida,
"May. 16, 2026",Iration,Pompano Beach Amphitheater,Pompano Beach,Florida,
,,,,,
"May. 28, 2026",Beauty School Dropout,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"May. 28, 2026",Wiz Khalifa,iThink Financial Amphitheatre ,West Palm Beach,Florida,
"May. 28, 2026",Machine Gun Kelly,iThink Financial Amphitheatre ,West Palm Beach,Florida,
,,,,,
"May. 30, 2026",Southall,Hard Rock Live,Hollywood,Florida,
"May. 30, 2026",Whiskey Myers,Hard Rock Live,Hollywood,Florida,
"May. 30, 2026",The Black Crowes,Hard Rock Live,Hollywood,Florida,
,,,,,
"May. 31, 2026",Penelope Road,Mizner Park Amphitheater,Boca Raton,Florida,
"May. 31, 2026",Marcus King Band,Mizner Park Amphitheater,Boca Raton,Florida,
,,,,,
