Date,Artist,Venue,City,State,
"Aug. 06, 1996",Fishbone,Metro Park,Jacksonville,Florida,
"Aug. 06, 1996",Pennywise,Metro Park,Jacksonville,Florida,
"Aug. 06, 1996",311,Metro Park,Jacksonville,Florida,
,,,,,
"Aug. 06, 1996",Ringworm,Milk Bar,Jacksonville,Florida,
"Aug. 06, 1996",Limp Bizkit,Milk Bar,Jacksonville,Florida,
,,,,,
"Aug. 22, 1996",TJ Hookers,Milk Bar,Jacksonville,Florida,
"Aug. 22, 1996",Ten Foot Pole,Milk Bar,Jacksonville,Florida,
"Aug. 22, 1996",No Use For A Name,Milk Bar,Jacksonville,Florida,
,,,,,
"Sep. 08, 1996",Less Than Jake,Shades,Orange Park,Florida,
"Sep. 08, 1996",Goldfinger,Shades,Orange Park,Florida,
"Sep. 08, 1996",Bad Religion,Shades,Orange Park,Florida,
,,,,,
"Sep. 29, 1996",Sugar Ray,Velocity,Jacksonville,Florida,
"Sep. 29, 1996",Funkdoobiest,Velocity,Jacksonville,Florida,
"Sep. 29, 1996",Limp Bizkit,Velocity,Jacksonville,Florida,
,,,,,
"Nov. 03, 1996",Automatic 7,Milk Bar,Jacksonville,Florida,
"Nov. 03, 1996",The Suicide Machines,Milk Bar,Jacksonville,Florida,
"Nov. 03, 1996",Face To Face,Milk Bar,Jacksonville,Florida,
,,,,,
"Nov. 19, 1996",The Urge,Shades,Orange Park,Florida,
"Nov. 19, 1996",Korn,Shades,Orange Park,Florida,
,,,,,
"Dec. 12, 1996",Quarter Roy,Milk Bar,Jacksonville,Florida,
"Dec. 12, 1996",Ringworm,Milk Bar,Jacksonville,Florida,
"Dec. 12, 1996",22 Jacks,Milk Bar,Jacksonville,Florida,
"Dec. 12, 1996",Unwritten Law,Milk Bar,Jacksonville,Florida,
,,,,,
"Apr. 17, 1997",Marilyn Manson,Jacksonville Coliseum,Jacksonville,Florida,
,,,,,
"Jun. 18, 1997",MXPX,Milk Bar,Jacksonville,Florida,
"Jun. 18, 1997",Face To Face,Milk Bar,Jacksonville,Florida,
,,,,,
"Aug. 01, 1997",Cards In Spokes,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Ringworm,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Sun Child,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Lo Presher,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Mighty Mighty Bosstones,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Lagwagon,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Blink-182,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Sick Of It All,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",The Suicide Machines,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Limp Bizkit,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Descendents,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Less Than Jake,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Pennywise,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Royal Crown Revue,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 01, 1997",Social Distortion,Jacksonville Fairgrounds,Jacksonville,Florida,
,,,,,
"Sep. 11, 1997",Limp,Milk Bar,Jacksonville,Florida,
"Sep. 11, 1997",No Use For A Name,Milk Bar,Jacksonville,Florida,
"Sep. 11, 1997",Lagwagon,Milk Bar,Jacksonville,Florida,
,,,,,
"Oct. 1, 1997",FOC,Milk Bar,Jacksonville,Florida,
"Oct. 1, 1997",One Hit Wonder,Milk Bar,Jacksonville,Florida,
"Oct. 1, 1997",Ten Foot Pole ,Milk Bar,Jacksonville,Florida,
"Oct. 1, 1997",Guttermouth,Milk Bar,Jacksonville,Florida,
,,,,,
"Feb. 17, 1998",Kill Your Idols,Rack 'Em Up,Jacksonville,Florida,
"Feb. 17, 1998",Quarter Roy,Rack 'Em Up,Jacksonville,Florida,
"Feb. 17, 1998",Ensign,Rack 'Em Up,Jacksonville,Florida,
"Feb. 17, 1998",AFI,Rack 'Em Up,Jacksonville,Florida,
,,,,,
"Mar. 5, 1998",No Use For A Name,Milk Bar,Jacksonville,Florida,
"Mar. 5, 1998",NOFX,Milk Bar,Jacksonville,Florida,
,,,,,
"May 09, 1998",The Roosters,Florida Theatre,Jacksonville,Florida,
"May 09, 1998",Lynyrd Skynyrd,Florida Theatre,Jacksonville,Florida,
,,,,,
"Aug. 4, 1998",Kid Rock,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",Rev. Horton Heat,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",Mighty Mighty Bosstones,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",The Specials,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",Unwritten Law,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",Hatebreed,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",Bad Religion,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",NOFX,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",Blink-182,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",Deftones ,Jacksonville Fairgrounds,Jacksonville,Florida,
"Aug. 4, 1998",Rancid,Jacksonville Fairgrounds,Jacksonville,Florida,
,,,,,
"Oct. 15, 1998",Peter Frampton,Jacksonville Coliseum,Jacksonville,Florida,
"Oct. 15, 1998",Lynyrd Skynyrd,Jacksonville Coliseum,Jacksonville,Florida,
,,,,,
"Oct. 21, 1998",Phunk Junkeez,Club Five,Jacksonville,Florida,
